measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),568,Vermont,3,Both,22,All Ages,721,Self-harm by firearm,1,Number,1990,2413.9141161009657,2625.9451155344073,2135.7386748183435
2,DALYs (Disability-Adjusted Life Years),568,Vermont,3,Both,22,All Ages,721,Self-harm by firearm,2,Percent,1990,0.014189768550630281,0.016326081117948147,0.011993187697024517
2,DALYs (Disability-Adjusted Life Years),568,Vermont,3,Both,22,All Ages,721,Self-harm by firearm,3,Rate,1990,421.3515174391559,458.3617750782005,372.7956705194407
2,DALYs (Disability-Adjusted Life Years),568,Vermont,3,Both,22,All Ages,725,Physical violence by firearm,1,Number,1990,540.4584506499511,585.5514210197539,495.24195530394667
2,DALYs (Disability-Adjusted Life Years),568,Vermont,3,Both,22,All Ages,725,Physical violence by firearm,2,Percent,1990,0.0031763644952447247,0.003624169438282987,0.0027660109981855474
2,DALYs (Disability-Adjusted Life Years),568,Vermont,3,Both,22,All Ages,725,Physical violence by firearm,3,Rate,1990,94.33765135853203,102.20868180009775,86.44505948865536
2,DALYs (Disability-Adjusted Life Years),536,Illinois,3,Both,22,All Ages,721,Self-harm by firearm,1,Number,1990,26417.52981435775,29358.83572239464,24086.84008289317
2,DALYs (Disability-Adjusted Life Years),536,Illinois,3,Both,22,All Ages,721,Self-harm by firearm,2,Percent,1990,0.006784691559623344,0.007975259954972535,0.005845361038620551
2,DALYs (Disability-Adjusted Life Years),536,Illinois,3,Both,22,All Ages,721,Self-harm by firearm,3,Rate,1990,226.34841212944264,251.54985702416027,206.3787963632976
2,DALYs (Disability-Adjusted Life Years),536,Illinois,3,Both,22,All Ages,725,Physical violence by firearm,1,Number,1990,55798.566698354196,57958.95633659325,53558.57525606021
2,DALYs (Disability-Adjusted Life Years),536,Illinois,3,Both,22,All Ages,725,Physical violence by firearm,2,Percent,1990,0.014328825098710246,0.01597365895840421,0.012773540164031243
2,DALYs (Disability-Adjusted Life Years),536,Illinois,3,Both,22,All Ages,725,Physical violence by firearm,3,Rate,1990,478.08849124140994,496.59895636182955,458.8959887739303
2,DALYs (Disability-Adjusted Life Years),547,Mississippi,3,Both,22,All Ages,721,Self-harm by firearm,1,Number,1990,10554.157458043035,11309.038042178916,8759.125274618673
2,DALYs (Disability-Adjusted Life Years),547,Mississippi,3,Both,22,All Ages,721,Self-harm by firearm,2,Percent,1990,0.011358404586654183,0.012838905932966655,0.009274824801612668
2,DALYs (Disability-Adjusted Life Years),547,Mississippi,3,Both,22,All Ages,721,Self-harm by firearm,3,Rate,1990,401.70717464986575,430.43906991073857,333.38553839651644
2,DALYs (Disability-Adjusted Life Years),547,Mississippi,3,Both,22,All Ages,725,Physical violence by firearm,1,Number,1990,14475.980409788579,15190.237156736774,13750.553074874713
2,DALYs (Disability-Adjusted Life Years),547,Mississippi,3,Both,22,All Ages,725,Physical violence by firearm,2,Percent,1990,0.015579148994695967,0.017300049560301563,0.013992531563451451
2,DALYs (Disability-Adjusted Life Years),547,Mississippi,3,Both,22,All Ages,725,Physical violence by firearm,3,Rate,1990,550.9776800109631,578.1633706671614,523.3668199038921
2,DALYs (Disability-Adjusted Life Years),537,Indiana,3,Both,22,All Ages,721,Self-harm by firearm,1,Number,1990,20904.869685090318,22396.5008490632,19004.778577220914
2,DALYs (Disability-Adjusted Life Years),537,Indiana,3,Both,22,All Ages,721,Self-harm by firearm,2,Percent,1990,0.011347891282138353,0.012898358727588469,0.009744506373154185
2,DALYs (Disability-Adjusted Life Years),537,Indiana,3,Both,22,All Ages,721,Self-harm by firearm,3,Rate,1990,369.5063555309722,395.87184852369495,335.9210832464774
2,DALYs (Disability-Adjusted Life Years),537,Indiana,3,Both,22,All Ages,725,Physical violence by firearm,1,Number,1990,14752.566170918531,15457.684504791087,14079.20861496582
2,DALYs (Disability-Adjusted Life Years),537,Indiana,3,Both,22,All Ages,725,Physical violence by firearm,2,Percent,1990,0.008007626983744926,0.008966475766948765,0.007098102231652767
2,DALYs (Disability-Adjusted Life Years),537,Indiana,3,Both,22,All Ages,725,Physical violence by firearm,3,Rate,1990,260.76062863158955,273.22402638016024,248.85862205525657
2,DALYs (Disability-Adjusted Life Years),548,Missouri,3,Both,22,All Ages,721,Self-harm by firearm,1,Number,1990,20533.324309912896,21956.024850786802,18383.21234090261
2,DALYs (Disability-Adjusted Life Years),548,Missouri,3,Both,22,All Ages,721,Self-harm by firearm,2,Percent,1990,0.011443831072208558,0.012965337165840841,0.009908087576727401
2,DALYs (Disability-Adjusted Life Years),548,Missouri,3,Both,22,All Ages,721,Self-harm by firearm,3,Rate,1990,393.2921337627346,420.5423209696627,352.1092200095725
2,DALYs (Disability-Adjusted Life Years),548,Missouri,3,Both,22,All Ages,725,Physical violence by firearm,1,Number,1990,21332.489909609027,22319.210852312943,20307.13702138786
